Summary,Sentiment
ok ok,neutral
nice product but noise is little louderiam happy,neutral
photos not sapot,neutral
ok,neutral
worthy for money i like it but power cable is very small,neutral
size too small,neutral
good,neutral
its ok,neutral
ok,neutral
ok,neutral
okay,neutral
7 mint to get hot water,neutral
not bad not shine and not good quality,neutral
100 sine wave inverter,neutral
only only only heating,neutral
product is good but the technician was very bad and full of attitude it s not mentioned while purchasing that they cannot come in remote areas terrible man,neutral
very slow movement,neutral
if your thighs are big and your waist size is 34 or 36 then go for the 38 size keeping in mind that youll have to visit the tailor for resizing the waist and length,neutral
only 50 pages print,neutral
its good same as shown in picture,neutral
ok,neutral
so agricive price,neutral
cheep quality cloth,neutral
full plastic material only nut bolt in metel,neutral
cast screen dont work properly,neutral
packing is good my dahlia flower came out very good but other seed does not grow,neutral
ok,neutral
ok,neutral
best quality but bit costly,neutral
i bought this soundbar bcos my thomson 55 inch smart tv audio quality was not upto my expectationsbcos mainly the vocals during dialogue deliveries where not clear and also the sound was distorted at higher volume levelsnow coming to the boat 120 w 1550 soundbar there was little bit connectivity issues with hdmi cable as tv was not initially playing the audio on bar after intense investigation we found that the audio mode in tv has to be changed from dolby digital to any other mode like,neutral
very small,neutral
gud product,neutral
noise,neutral
very rush product,neutral
ok,neutral
very good quality product,neutral
this oven not suetable for making cakes,neutral
niceeee,neutral
overall good but my freez front handle grip making noise while main door open,neutral
ok,neutral
ok,neutral
showing big images but give a small size product,neutral
avg,neutral
proswell balanced tablet1not too slow not too speed2ram management is good3display quality is enough for content consuming4sound quality is top tier5good battery backupcons1where is my headphone jack2there is no flash3high end version memory should have been 256 gb not 128,neutral
only battery was terrible overall beast in this price range,neutral
not bad,neutral
small,neutral
ok nice products,neutral
ok,neutral
ok,neutral
ok k,neutral
i had bought this for myself i can say one thing that its awesome you may,neutral
ok,neutral
3 days used colour fade size small,neutral
all are punture,neutral
ok,neutral
not bad,neutral
small pies,neutral
fabric is not so good nor bad,neutral
ok ok,neutral
okay,neutral
ok,neutral
assume inverter 200mah exide battery backup time 11hr 2fan and 2led light total 200 watt,neutral
average tv,neutral
its quite good,neutral
nic is dupatt,neutral
normal,neutral
usefull in winter,neutral
descent,neutral
installation ok,neutral
vera level experience,neutral
wood inside is not as per prescription,neutral
sling side part is made with metal and metal is pulled out,neutral
nice product but information leaflet and recipe book is missing,neutral
good for this price but hard for childrence,neutral
middle class item,neutral
average quality,neutral
its ok,neutral
as per my one day experience,neutral
nice product but information leaflet and recipe book is missing,neutral
functioning property but some bad smell is spreading out when running,neutral
quality overally ok fabric typ,neutral
ok,neutral
device not catch voice properly,neutral
delivery was within the given date which is good and football looks very awesome and strong but have to wait and watch the quality,neutral
ok,neutral
goof,neutral
average product,neutral
okey,neutral
i installed in my vu 49 led tv and having a good experience with screen mirroring and online streamingled tv is not smart tv thanks,neutral
nice but remote use to on and off we cant able to move left right the helicopter using remote,neutral
average only,neutral
nice but quite hard,neutral
good but heat was low hour this flask 8hours only,neutral
not bad,neutral
ok ok,neutral
leakage in water tap,neutral
this mobile stand is made of metal looks and feels sturdy limited adjustinfolding options but then it is quite obvious in the display itself the stand has to be at a proper angle so that it the mobile does not topple no safety clip to secure the mobile in place so you have to be very careful or your precious mobile could slip of the holder and fall again it is apparent in the pics so not disappointed it could have been priced a bit lower but overall it does what its supposed to do,neutral
ok,neutral
ok ok,neutral
bowl is smallgood quality,neutral
the product was as expected,neutral
light is messing in this product,neutral
it was ok,neutral
ok good,neutral
ok,neutral
size too small,neutral
display its just like lcd tv and image can not zoomif you want to zoom some content imgso not possible please dont buy if you want to zoom any content image,neutral
speed is very slow on full speed after 45 months,neutral
just ok,neutral
i am happy,neutral
bayd,neutral
very good product at this price range,neutral
ok,neutral
nice product and good quality but overall very heavy heat but ok,neutral
average,neutral
normal,neutral
stuff is nice bt size is not up to mark,neutral
ok,neutral
its very bad very noicey,neutral
nice and as described but colour is not that great,neutral
chap matarial,neutral
product is ok no aroma,neutral
not working properly,neutral
very cheap stitchingclothe average for the price,neutral
gud quality,neutral
okay,neutral
ok,neutral
worth to buy it,neutral
its ok,neutral
nc,neutral
good but setting bit difficult,neutral
ok,neutral
its size is too small than i expected overall good product because it helps alot i had purchased this kind of mobile holder 4 years ago and it was too good its size was also big but i forgot its companys name so i had to buy this adzoy stand,neutral
okk,neutral
ok,neutral
writing this review after 15 days it works slowly and sometimes i cant see this memory card in other mobiles,neutral
very nice product and very fast dalivary,neutral
very goid,neutral
battery backup not 30 hours only 1215 hours,neutral
ok,neutral
ok,neutral
ok,neutral
lookwise it is beautiful along with wheel and tire quality is pretty good in this rangei am satisfied with this,neutral
software bugsometimes takes longer to fetch older recorded files,neutral
ok,neutral
small size,neutral
when i use first day its was soo irritated me after restart it was working very well casting was some little lagging but okay im satisfied with this product,neutral
ok,neutral
its ok,neutral
excellent,neutral
quality not as cello standard,neutral
according to price very light wight,neutral
its ok,neutral
just ok,neutral
qulati is not good oky typs,neutral
please goahead fir big size not even good for single family,neutral
its ok,neutral
ok,neutral
clock not working,neutral
not bad not gud,neutral
not bad just ok,neutral
just ok,neutral
avarage,neutral
jars are smaller than other jarsquality is lesser than other mixers,neutral
look is good but quality is very bad dont buy this product,neutral
ok ptoduct,neutral
good but hard too and bouncy as well,neutral
2 day lasting,neutral
nice,neutral
everage,neutral
water circulation is not there on one side of cooler,neutral
data transfer speed 7 mbps to 23 mbps,neutral
size is small,neutral
1 instrument is very worthful 2 everyone must keep this in their residence when it needs3 quality and accuracy needs to be improvise,neutral
nic product,neutral
connectivity issue,neutral
averages,neutral
my heater not working,neutral
this product has oil leaking issue,neutral
average excess cost,neutral
ok,neutral
size issue,neutral
gd,neutral
average product,neutral
not so bad but ok,neutral
average,neutral
good and very bad kannaaappi saanam,neutral
battery backup not enough,neutral
ok,neutral
nonsticky light weight must buy,neutral
laptop is goodif your primary focus is gaming only then buy this laptopdont expect you can rome around with this laptop thinking you will use it on battery,neutral
too overpricedgo for ac1217,neutral
nice product but information leaflet and recipe book is missing,neutral
exactly fitting in wagon r ok,neutral
average,neutral
ok,neutral
ok but shining note,neutral
i tried chicken pieces for first time in oven and its cooked well,neutral
ok,neutral
just ok,neutral
veryr small size,neutral
okay,neutral
ok,neutral
ok,neutral
superb,neutral
normal quantity,neutral
its a average quality,neutral
perusa solradhuku onnum illaing,neutral
not bad,neutral
good quality,neutral
its a 10w charger but it was charging at normal speed,neutral
original product received it on time have been using it since 6 months now working great but the camera is not what i expected not clear as iphone 11 photos taken are quite blurred and low resolution,neutral
seller did not send operating manual,neutral
nice product thank you for flipkart,neutral
chief martial,neutral
not bad,neutral
not suitable in innova 2013 model,neutral
not for heavy winter,neutral
the product is fine but it has a problem while playing music while playing music it stops in middle of the song and playing it has some bluetooth problem so please check it once,neutral
rates a little bit higher,neutral
ok,neutral
very comfortable xxl size,neutral
too much space,neutral
very wost product,neutral
not bad im happy with the product quality,neutral
data transfer speed is not as expected its only 25mbsec highest,neutral
very small,neutral
ok quality good in look,neutral
superbbbbb ball,neutral
only works for mobile but not working in computer system,neutral
ok,neutral
not to bad,neutral
full speed,neutral
product is thin,neutral
quality less,neutral
i bought this in oct 19the plates are breaking automatically one by one just kept on the table the plates are very thin and it seems not with standing heat of the served food,neutral
good product sabse achcha setup box,neutral
hp 46 black ink prints only 650 pages,neutral
does not work properly,neutral
product quality is good as per the pricing overall satisfied,neutral
average,neutral
fan good but more sound while it running,neutral
it is goodbut size very small,neutral
not bad,neutral
nice,neutral
ok,neutral
its ok,neutral
average,neutral
without touch sincer bakwass 5 time repair in 8month,neutral
quality is good but small in size,neutral
ok ok,neutral
very cheap quality,neutral
best but cant fit in finger,neutral
good,neutral
data transfer speed is not as expected its only 25mbsec highest,neutral
the ticking sound is louder,neutral
light colours,neutral
wonderful,neutral
1good product 2value for money 3nice performance,neutral
from 40 varieties only 5 grow,neutral
small size,neutral
ok,neutral
ok,neutral
nice item but very late delivery,neutral
average product,neutral
a little big for todays date but other than that no problems and a complete value for money also its quite silent,neutral
colour completely washout within two days,neutral
usefull,neutral
average production,neutral
awsm product at dis pricego for it,neutral
just awsm,neutral
but warranty card is not available for inside,neutral
ok,neutral
ok,neutral
average,neutral
the shredding blade is very ordinary,neutral
very good,neutral
ok,neutral
not bad,neutral
quantity is less,neutral
ok some,neutral
cooler is very compact and movable look wise greatperformance was good but not excellent as in extreme heat it doesnt cool as otherwise also difficult to clean the tank leading to stink,neutral
build quality is very good but the print on the table is not that much good as shown,neutral
ok,neutral
design is good but strap colour goes after use of one month didnt expect too low quality from a reputed brand not up to expectations design of dial is good,neutral
its not a sinewave inverter,neutral
not pure sine wave inverter,neutral
supper wander full working this heater,neutral
sensors are not so goodtake time to change colour,neutral
ok ok,neutral
not bad,neutral
ok product,neutral
assembly takes our breath out,neutral
awsm product,neutral
it is very good product but sometimes there is a lag in opening tabs in chrome,neutral
not goodaverage,neutral
brand changed,neutral
sticker is coming out,neutral
just ok,neutral
imagin,neutral
what im expecting it was not warkin,neutral
good product but base ls very weak so broken,neutral
lovedit,neutral
the product is so good that i have no words it has made my stupid lcd tv a smart tv you can not cast everything from apple products its very smalll it requires power from usb port continuously during its run and it has no battery it has a small light which confirms if it is powered or not and secondly same light converts into white which shows its connected once tv is on and if its the only thing connected in hdmi then it will automatically start google home you need to download goo,neutral
sensory button panel is totally damagedvery dissapointed,neutral
height suitable for kids,neutral
print not available size is lately smallcolour did not matchwrost money,neutral
this is not sine wave you should mention correct spec in display,neutral
ok ok product,neutral
the product is not bad but the price is high,neutral
ok good,neutral
same as shown in da picture,neutral
after boil water not automatic switch off,neutral
ok,neutral
average,neutral
jus ok,neutral
ok,neutral
its ok not bad,neutral
ok,neutral
ok,neutral
working as expected,neutral
ok,neutral
ok,neutral
product heating,neutral
after 2 3 time use it making humming sound and it is so irritating dont purchase this product,neutral
ever green osam paint,neutral
clock not working,neutral
ok,neutral
taking more time for cooking rice,neutral
short blanket,neutral
ok,neutral
moderate product,neutral
gud but price is high,neutral
i was using,neutral
its good for sarees lahangas and blazer but not worth for iron of shirts and trousers,neutral
its make a tasty roast,neutral
its really good but the quality poor,neutral
oil is non sticky and helful for hair,neutral
use full product for home made things,neutral
okay,neutral
product quality is so goodbut little bit over priced over all fine product,neutral
ok,neutral
its ok,neutral
1 i have received brocken screw box 2picture quickly is good 3sometimes wi fi cant connect 4sometimes set top box suddenly hang 5tubicast not supporting hotstar zee5 6youtube plays 360p quality,neutral
connecting wires are very thin,neutral
best dth but not connect with mobile,neutral
okay for small housesonly 15 minutes continuously uses you have to off the vaccum cleaner after that,neutral
crusty plate power steam bowl messing,neutral
average,neutral
gud,neutral
ok,neutral
ok ok,neutral
good product at this pricebut the should provide basis moulds for baking,neutral
goodvalue for money,neutral
nice but many features missing in india fix nest update google,neutral
i did not get any manual or anything inside,neutral
okay,neutral
supar,neutral
good product but 1 problem pin is not included in the box,neutral
its ok only i just suggest dont purchase this,neutral
avg qlty product,neutral
not a long life product mony westage product,neutral
average,neutral
exellent bat but for only tennis ball nt stumpher ball bcoz when u hit that stumphar ball stamp will come in bat shots are exellent and toe guard is absent but the is exellent for tennis ball tqsm flipkart,neutral
very high price,neutral
very poor,neutral
not bed not good just ok,neutral
average,neutral
just ok,neutral
bater but,neutral
darun,neutral
ok,neutral
cloth is very thin,neutral
product is ok no aroma,neutral
just ok,neutral
very thin product,neutral
excellentbut need to lower the price,neutral
ok ok,neutral
ok ok,neutral
its not suitable for water pipes in home,neutral
item is good but small so,neutral
same as in picheight was so gd,neutral
ok,neutral
op range,neutral
not bad,neutral
fantastic,neutral
not bad,neutral
product is good and good lookingsmart beautyful and also very good work smartlybut jeevas service is very bad manners and bad service,neutral
do not buy only two month working,neutral
ok ok product not recommended,neutral
it was good,neutral
ok ok on this price,neutral
no to much good just ok,neutral
start button is not working properly,neutral
too loudy bass vocal need little loud u can feel th bass its only bass vocal are less as compared to bass vocals and bass are need to be balanced,neutral
dont buy this shoe its quality is very worsthis sole get shear off oin just 23 month,neutral
one new and one very old material,neutral
product is just okay little bit costly as per the quality of the material expected cotton material,neutral
ok,neutral
good but costely,neutral
ok,neutral
okkk,neutral
middle class item,neutral
not satisfied with the flipkart customer care and but about the product still i am not in a stage to give the review,neutral
light mising,neutral
ok,neutral
its a great product in this price range i loved it,neutral
grinder not working,neutral
just ok,neutral
should have included pipes for connection,neutral
very good quality,neutral
big plates are not much enough to eat lunch dinner they are sufficient for breakfast fast and small plates can be used for side dishes,neutral
not so good its ok this price,neutral
okay,neutral
just okay,neutral
good,neutral
not bad not shine and not good quality,neutral
product is osm but charging is slow display disapointing sheded picture qality,neutral
ok,neutral
very thin,neutral
voice issue,neutral
too small in size,neutral
ok,neutral
okay,neutral
not bed,neutral
ok,neutral
small in size than expected,neutral
ok,neutral
very big size,neutral
very loud speaker with decent bass,neutral
product is good but plastic quality is very poor,neutral
fitting,neutral
cloth was thin,neutral
ok,neutral
sir why only two filter there must be 3 right and what amount does a filter cost,neutral
i think it is good but it can be better,neutral
the plugin wire is extremely small so 3 star,neutral
quality of the product is not up to the mark,neutral
osm,neutral
evergreen product for all,neutral
normal,neutral
one rod is missing rest everything is ok,neutral
not as expected,neutral
ok,neutral
ok,neutral
ok,neutral
working cartridge,neutral
its ok,neutral
avarage quality,neutral
average product,neutral
its an authentic one,neutral
not bad,neutral
superbbbbb ball,neutral
average,neutral
ok,neutral
its ok,neutral
sound quality is very good but its making an annoying beep sound continuously and also when im receiving a call through this device i heard my own voice in an echobut after i replaced the product then it sounds really awesome no issue at all,neutral
very good,neutral
best bass best sound quality but body quality is not very good overall good product,neutral
this qr isnt working,neutral
not bad,neutral
average product,neutral
this is big,neutral
its ok,neutral
watch is okaysmaller than shown in the photo,neutral
cheep quality,neutral
gud but not that gud,neutral
okay,neutral
water circulation is not there on one side of cooler,neutral
good product but this not support telugu language,neutral
ok ok,neutral
wonderfull sound effects battery life,neutral
good,neutral
ok,neutral
average,neutral
good quality but the price is too high,neutral
just ok in this price range,neutral
product is working normal its noise level is low,neutral
ok ok,neutral
avrege quality products,neutral
wheels are tight,neutral
very thin,neutral
osum,neutral
it takes you to moderate level,neutral
cant connect to app asked refund of money,neutral
not working after 18 months,neutral
ok,neutral
average,neutral
very small in size can be use outside bathroom,neutral
very thin n small,neutral
filters are coming out,neutral
after few months of use some sounds are coming while using the microwavebetter go for samsungflipkart selling refurbished items,neutral
gud product,neutral
i was happy with the product i had an issue with tap and leakage but its solved by the service centre the water saving is decent,neutral
it was a wooden material it was in pieces we have to connect all and even there is a hanging chain shown but it was a wire it was looking cheap according to its price,neutral
same as picture,neutral
okk,neutral
midiyam qualty products,neutral
vaste of money,neutral
very small for even for 4 people,neutral
average product,neutral
ok,neutral
ok,neutral
small plates,neutral
we get only 139 tb if we buy 15tb otherwise this is the bestone,neutral
product is not per quality check other products before buying,neutral
not quality,neutral
ok ok,neutral
i am having problem with break and the chain is allways falling after every 5 minutes,neutral
ok,neutral
ok,neutral
it comes with a affordable prices and also with every essential toolseasy to use,neutral
quality is good stitching goodbut this is not a perfect sport shortthe structure is slightly not goodlength is 1 inch more than expected,neutral
very nice,neutral
just ok,neutral
average,neutral
masss,neutral
working very good since three months the clock is not very good in terms of usage but good value for the money,neutral
ok,neutral
just okey,neutral
its ok,neutral
very good but needle is poor,neutral
very good purdect,neutral
itvery goodso easy to assemble but stand pad should be more heavy,neutral
very small one only for 2 to 3 people,neutral
ok,neutral
ok,neutral
time bound service,neutral
avarage,neutral
ok,neutral
just ok,neutral
price is high,neutral
table is imbalance and some sckreches on table,neutral
size is too small,neutral
same as money,neutral
its ok,neutral
ok but not compatible,neutral
its okay,neutral
do not buy it wont last you a week bought this and within 1 week of use its full of holes,neutral
looking so amzngg and softly for every movement,neutral
very thindont buy this,neutral
ok,neutral
air is leaking,neutral
excellent,positive
good phone,positive
supar,positive
thnku for this wonderful product,positive
very nice,positive
i liked this hair oil it is light on scalp it gets absorbed nicely it is non sticky above all the results are nice it has made my hair healthy,positive
flipkart just delivered it within 3 days fastest delivery with good packingall 6 jars look good and feel sturdy machine size is medium and light operating sound is lower than other mixers there is no pulse mode thoughpower indicator light on mixer is great but no indication markers for 3 power levelsboth mini plastic jars have same blender blades one grinding blade would have been greatchutney jar with 400ml capacity is totally awesome2 years warranty really makes it a,positive
very good,positive
best laptop under 60k,positive
very good,positive
good product,positive
good,positive
good product,positive
bowl size is small but over all good product,positive
good,positive
very nice,positive
sera trouser,positive
osm,positive
very nice,positive
it is very good product and solve my burden to shift all the books,positive
very good thanks flipcart,positive
happy for this product,positive
good,positive
is nice,positive
nice product,positive
wonderful stabilizer,positive
good,positive
very nice product,positive
nice kajal,positive
solving the purpose,positive
value for money,positive
nice quality reasonable price,positive
nice product thanks flipkart,positive
superb product,positive
yeah good working,positive
good stylish product loved it,positive
very nice,positive
exellent,positive
excellent performancethank to v guard for making this product,positive
nyc,positive
the product was really good and i love the taste of the purified water it was silent when compare to other purifier 4 stars because the installation took to much time and i was keep on calling customer care for more than two weeks for installation,positive
its a osm tv price is very low good quality iam fully satisified tq flipakart,positive
the fragrance of this perfume is really nice and long lasting and the size is apt as well because i can carry it with me anywhere i definitely recommend buying it,positive
nice product,positive
one of my best product in online amazing bass comfortable design and etc etc vera level boom hphonethank u flipkart i really luv like it,positive
first class solid machine and very silent more futures and heater etc response from the service provider and demo everything is super,positive
superb,positive
nice quality product awesome noise filtering by the mic side great call quality best feature is that it goes to standby when the buds are magnetically stuck to each other when not in the ear and automatically turns on and reconnects when separated saves power and minimises radiation exposure music experience became good when i adjusted the equaliser in my phone totally love this product,positive
good,positive
really goodworth buying it,positive
nice,positive
worth as compared to other costly brands,positive
i liked it,positive
good packing and healthy plants,positive
except brake system cycle is good at this price this cycle is comfortable for upto 52 ft height riderlight weight stylish reasonable price company need to work alot on brake system of the cycle,positive
very nice product,positive
nice,positive
nice product,positive
very good product,positive
excellent product no hanging problem no issue exact 2 gb ram its wonderfull working perfect go for it,positive
value for money excellent heater,positive
good,positive
super,positive
good one my brother loved the kit,positive
very nice and low weight iron it has,positive
very very very very nice product,positive
bought this for work purpose compared to other products this one is better if your budget is below 30k and you have to invest more than 50k in other products samsung etc for below features6gb ram128gb rom5g 2 sim slots will support 3g4gas lot of users said otg is not workingcamera is not upto mark,positive
looks good display looks good no noise,positive
1 many utensils have to wash wid hand and den put into machine otherwise stains left on utensils2 many utensils r nt machine frndly dey hv to wash manually seperately,positive
good product clearly pics,positive
good one,positive
good,positive
best quality,positive
as compared to cost of this socks this is worth it,positive
excellent product in this price range,positive
love it just as expected,positive
super designe and qualityworthfull,positive
good quality value for money,positive
super,positive
nice product user friendly,positive
wonderful product,positive
enjoy pandago,positive
beautiful chair my daughter loved it,positive
excellent cooler excellent air flow super cooling almost silence functionsturdy bodysmart looking coolerthank to maharaja white line and flipkart,positive
nice,positive
nice product,positive
very nice product highly recommended,positive
overall good product cap is tightear plugs and goggles are good enough for the pricesatisfied with the purchase,positive
dont purchase total waste money,positive
good product and good delivery,positive
amazing watch,positive
gud,positive
nice,positive
super,positive
best to the price,positive
good,positive
good product,positive
good for my son,positive
go for it worth d money,positive
awesome product in low cost recommended to all birthday celebration mode on my daughter love it and enjoy,positive
quality is average but 1 star because china made and they clam its indian,positive
very nice product,positive
value for money product i got this laptop for 45k with bank offer the delivery was very safe and genuine no damage,positive
so good,positive
i request to all sons that dont be conjus on investment for your older parents by choosing cheap and economic diapers rather go for this one which not only carries the urine for a longer time but also softer and gentler on skin,positive
good product,positive
nice product,positive
picture and sound quality are gooddelivery and installation were as per schedulecolor reproduction of display little bit dull otherwise a good product expecting the product to last long and mi building a long lasting relationship with us,positive
wonderful,positive
good,positive
good quality,positive
product is good and best deal,positive
product quality is too gud it has turned led tv into smart tvit is very easy to connect screen casting and screen mirroring is very clear video as well as audiogo for it,positive
great,positive
wonderful products,positive
good handy product,positive
superb,positive
super,positive
good product,positive
very nice,positive
good product,positive
beat cooler highly recommend,positive
niec jat,positive
delivery guy was really very helpful and did a good job,positive
good product i love it,positive
its a nice product,positive
nice product,positive
good,positive
the mivi bar is stunning loving it worth the price the quality of sound is great i am in love with this fantastic product thanks mivi,positive
very good quality iam soo happy tq flipkart,positive
good product,positive
all good,positive
very comfortable i thing good product in this price,positive
very nice,positive
connectivity great picture quality sound are good,positive
good charger,positive
good one,positive
great product easy to use best choice,positive
good quality product,positive
nice to bittry backup,positive
sharp blades well build simple white design go for it,positive
considering price factor tv is very good picture 55sound 45smart 45quality product from thomson,positive
not so goodthis is okay okay,positive
good product,positive
very good quality and it is quite thick according to the price i have ordered one more blanket of same colour,positive
good packing nice product,positive
i like this product the size of this product is good and clothes are also too goodthanku flipkart,positive
nice product,positive
good budget dslr,positive
excellent,positive
nice,positive
good,positive
beast,positive
superb camera nyc click gud clarity,positive
good and power consumption is best for this price,positive
too much heating in just a minute not as much as expected not worthless but might be better more,positive
thankyou flipkart,positive
execellent,positive
good for price,positive
good,positive
very nice quality and perfect comfortable this protect very super love it,positive
good product didnt see any difference between the old one with only 25 and with this new 5 band coverage is the same but yes nice product,positive
nice product no chip chiton hair,positive
good purchase,positive
good slow juicer at this price provide high quality of juice,positive
good,positive
very nice product in this price range,positive
just osmm,positive
good,positive
amazing product loved it,positive
nice product i am happy,positive
this is an amazing product guys go for it,positive
best product guys just go for it,positive
nice dinner set thanku flipkart,positive
good qualitypaisa wasool product,positive
good productsno damage good packing,positive
good,positive
very good product,positive
very good and reasonable price,positive
thanks and so grateful,positive
nice product easy installation with video quality product,positive
amazing product and thanks to delivery man,positive
good purchase value for money working fine,positive
this is awesome priduct,positive
i love this product very usefull for ur little one and some time for u also,positive
bought it in 13k at sale and it is really a value for money product,positive
its awesome kajalu can bye it no money waste full paisa wasool really its vry vry nice,positive
strong good very nice,positive
nice value products,positive
good product,positive
according to the price its a good deal,positive
nice product,positive
it was really awesome ecofriendly and good space occupying at same time the cost was a little high fitting also done by own manual was also awesome a good experience for me thank you flipkart thank you woodbuzz,positive
use only smart devices,positive
good,positive
good,positive
very affordable price picture quality excellentsound quality okay,positive
good,positive
very good performance,positive
thank you flipkart i am so happy,positive
bit pricey on other side but purity is good on other side purification quality is good not to best taste is good as compared to other ro you need to buy prefilter otherwise nothing you have to buy like in other ro you have to buy diaphragm pump pipe stand etc ro is good overall design is outdated body is not to strong you need to buy cover bcz of white colour,positive
good,positive
nice,positive
nic,positive
nice product,positive
super,positive
good product,positive
this product is very good,positive
very beautiful,positive
nic product,positive
best in clsss,positive
my gaming experience has been greatly improved thanks to this finger sleeve,positive
thank u flip kart,positive
good product,positive
very good,positive
good product im satisfied,positive
very good,positive
good,positive
it is fantastic just go for it,positive
it is very nice thank you and it is not expensiveit make my work easyit clean my all sweater and etcit was packed very nicely,positive
very nice,positive
nice,positive
good product,positive
very good value for money,positive
value for money product,positive
beautiful,positive
nice product in good price,positive
good,positive
i loved this neckband very comfortable fit in earsoutside noise totally went offi wish we get many more good products from oneplus ahead,positive
thanks for response,positive
good product,positive
good,positive
bought it from amazon at the price of 21500amazing productmust for people with asthma as it gives you a feeling of breathing fresh air,positive
best quality of this product super dupper osm i it,positive
brilliant product at this price point,positive
good quality original samsung memory card,positive
good product,positive
good,positive
nice products,positive
good product at this price,positive
good quality and sufficient for book stand and other work like shows and many more,positive
very useful g6,positive
best quality,positive
very nice product,positive
good phone,positive
nice,positive
good one,positive
very useful particular in the present circumstances,positive
geniune ink good,positive
genuine product,positive
good enough in this pricevery fast working,positive
amazing camera super,positive
good quality,positive
so good,positive
good,positive
after 3 month of purchase good fridge have enough space for all items consumes power extra i think i used to pay 600 for eb but this time 1200 not sure whether that 600 came from fridge or mixie,positive
nice bag look wise is great quality is ok with the prize,positive
best quality,positive
proslook like premium devicescreen quality goodfingerprint working perfectlysmoothbrightness is also goodconsbiggest cons camerabattery backup only 3hit must give dolby alteastsound is not that loud in my case i have to use external speaker,positive
nice quilety,positive
nice product,positive
couldve been better still worth the price,positive
reliable,positive
good,positive
cute,positive
very useful and its so good i m very happy,positive
good product,positive
but size is smile,positive
this tab is really nice worth for money,positive
good quality,positive
good product cotton cloth nice price thank you filfkart,positive
its a gud productdnt knw abt aftr sell serviceshope for d best,positive
very good,positive
very good,positive
nice pant and fabric quality go fot it,positive
perfect quality,positive
awesome ro water taste so sweet and its purify 25 liter in an hour i have measure that it takes 17 minutes to full tank and my come from kunal,positive
best battery and good sound and bass at 900 rs,positive
wow,positive
good quality,positive
excellent product installation is very good happy to buy this product,positive
nice product,positive
good nice,positive
good,positive
good,positive
value of money packing to good im impressed,positive
nice productjeally juices well a bit of an issue with the usability of the ramining pulp but thats ok this works well,positive
good it is grinding smoothly,positive
very good,positive
very nice original productgot 149 only,positive
good product,positive
good,positive
very best one,positive
nice one,positive
this product very super gaiming performance all in one better but something problem but this very super value for money,positive
good,positive
amazing product must buy,positive
very nice product,positive
simply superb good product i love it,positive
good nice working,positive
wonderful quality good grips your phone will never slip from this stand best quality,positive
super product,positive
good quality,positive
clock is very good and alarm bell is also rings sharp,positive
its good nice to play for 13 because it is rubber moulded then for malayali sambavam pwoli,positive
verry nice mivi s16 model stereo saund and deep bass clear saund,positive
good,positive
lok like luxury,positive
hometheater was very good and also have good bassthnx flipkartbut packaging is not goodimprove your packagingoverall good product,positive
overall great,positive
good,positive
loved it got it 899,positive
woww i love it this product,positive
original product com so happy,positive
as expected,positive
nice one its hard but very good for trainings good durability best in this price range,positive
nice,positive
super charger,positive
very good one,positive
one of the best storage hard disk fast secure and compact you can set password for protection of files you can also lockunlock your hard disk with password,positive
very gd prdct,positive
good product,positive
nice pic,positive
nice,positive
excellent very cheap nd best,positive
good,positive
very good in such price,positive
very good,positive
good best and better,positive
im write this review ofter using one month absolutely superb performance nice one,positive
nuce,positive
good one,positive
good,positive
very good i am so happy,positive
good,positive
good product,positive
superb,positive
machine super but nobody come to give demo class,positive
nice,positive
good products,positive
this is a better product for the price you can buy it for your home decoration looks great at night or so,positive
excellent dinner set contains 6 full 6 quarter plates and 6 bowls packing was very nice and compact worth buying,positive
not too gd but okay type,positive
a good quality productfridge is working good electricity usage is also normal dont require huge energy consumption,positive
nice,positive
everything is very good and box is very good conditioni purchased this ipad only for gaming thanks flipkart for giving me this product dont think a second go and buy it i am fully satisfied,positive
product is very goodi am impress thank you flipkart,positive
its good product,positive
actually this is awesome,positive
very nice,positive
good product in affordable pricing,positive
gud product,positive
nice product,positive
nice,positive
thanks for the quick delivery really appreciate for service and product quality,positive
its a great quality mask you must buy its genuinely this mask quality is great and also comfortable if you are looking for mask you might check it out i think you might not be disappointed,positive
very nice,positive
good product,positive
nice products,positive
best otg nice looking and working,positive
awesome owen,positive
nice product,positive
awasome very good quality,positive
good,positive
good product,positive
it is made of nice quality steel looks and utility wise is also perfect my mother is very happy with my this purchase it is a must for every household,positive
super best buy worth its money,positive
this is best bat but this is very slim yah bahut patla hai,positive
super fast delivery from flipkart and waiting for the installation,positive
very nice product serves basic purpose,positive
excellent,positive
nice product especially the sponge inside makes is amazing while cleaningusing it for car and it cleams my car very effectively,positive
best product,positive
smooth application worth to buy,positive
the cycle is good in this price and the diet plan benifit is bonus for me i had a call from cultsport her name is anamika she was so polite and she make me understand that how much the daily dait is important for us she is so polite and hummble good experience from urban terrain and cultsport,positive
good,positive
the best processor you can get in this price range i think the minimum brightness should be a bit lower temperature management is fine keyboard letters are hard to see without backlight,positive
good,positive
super,positive
good quality vara lavel cycle please buy more,positive
best air purifier,positive
best book for anatomy,positive
just great,positive
nice i am happy,positive
must buy to boost your preparation,positive
best entry level camera,positive
